 time            v(in)           v(out)         
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 6.00000000e-12  0.00000000e+00  0.00000000e+00 
 1.20000000e-11  0.00000000e+00  0.00000000e+00 
 2.40000000e-11  0.00000000e+00  0.00000000e+00 
 4.80000000e-11  0.00000000e+00  0.00000000e+00 
 9.60000000e-11  0.00000000e+00  0.00000000e+00 
 1.92000000e-10  0.00000000e+00  0.00000000e+00 
 3.84000000e-10  0.00000000e+00  0.00000000e+00 
 7.68000000e-10  0.00000000e+00  0.00000000e+00 
 1.36800000e-09  0.00000000e+00  0.00000000e+00 
 1.96800000e-09  0.00000000e+00  0.00000000e+00 
 2.56800000e-09  0.00000000e+00  0.00000000e+00 
 3.16800000e-09  0.00000000e+00  0.00000000e+00 
 3.76800000e-09  0.00000000e+00  0.00000000e+00 
 4.36800000e-09  0.00000000e+00  0.00000000e+00 
 4.96800000e-09  0.00000000e+00  0.00000000e+00 
 5.56800000e-09  0.00000000e+00  0.00000000e+00 
 6.16800000e-09  0.00000000e+00  0.00000000e+00 
 6.76800000e-09  0.00000000e+00  0.00000000e+00 
 7.36800000e-09  0.00000000e+00  0.00000000e+00 
 7.96800000e-09  0.00000000e+00  0.00000000e+00 
 8.56800000e-09  0.00000000e+00  0.00000000e+00 
 9.16800000e-09  0.00000000e+00  0.00000000e+00 
 9.76800000e-09  0.00000000e+00  0.00000000e+00 
 1.03680000e-08  0.00000000e+00  0.00000000e+00 
 1.09680000e-08  0.00000000e+00  0.00000000e+00 
 1.15680000e-08  0.00000000e+00  0.00000000e+00 
 1.21680000e-08  0.00000000e+00  0.00000000e+00 
 1.27680000e-08  0.00000000e+00  0.00000000e+00 
 1.33680000e-08  0.00000000e+00  0.00000000e+00 
 1.39680000e-08  0.00000000e+00  0.00000000e+00 
 1.45680000e-08  0.00000000e+00  0.00000000e+00 
 1.51680000e-08  0.00000000e+00  0.00000000e+00 
 1.57680000e-08  0.00000000e+00  0.00000000e+00 
 1.63680000e-08  0.00000000e+00  0.00000000e+00 
 1.69680000e-08  0.00000000e+00  0.00000000e+00 
 1.75680000e-08  0.00000000e+00  0.00000000e+00 
 1.81680000e-08  0.00000000e+00  0.00000000e+00 
 1.87680000e-08  0.00000000e+00  0.00000000e+00 
 1.93680000e-08  0.00000000e+00  0.00000000e+00 
 1.99680000e-08  0.00000000e+00  0.00000000e+00 
 2.05680000e-08  0.00000000e+00  0.00000000e+00 
 2.11680000e-08  0.00000000e+00  0.00000000e+00 
 2.17680000e-08  0.00000000e+00  0.00000000e+00 
 2.23680000e-08  0.00000000e+00  0.00000000e+00 
 2.29680000e-08  0.00000000e+00  0.00000000e+00 
 2.35680000e-08  0.00000000e+00  0.00000000e+00 
 2.41680000e-08  0.00000000e+00  0.00000000e+00 
 2.47680000e-08  0.00000000e+00  0.00000000e+00 
 2.53680000e-08  0.00000000e+00  0.00000000e+00 
 2.59680000e-08  0.00000000e+00  0.00000000e+00 
 2.65680000e-08  0.00000000e+00  0.00000000e+00 
 2.71680000e-08  0.00000000e+00  0.00000000e+00 
 2.77680000e-08  0.00000000e+00  0.00000000e+00 
 2.83680000e-08  0.00000000e+00  0.00000000e+00 
 2.89680000e-08  0.00000000e+00  0.00000000e+00 
 2.95680000e-08  0.00000000e+00  0.00000000e+00 
 3.01680000e-08  0.00000000e+00  0.00000000e+00 
 3.07680000e-08  0.00000000e+00  0.00000000e+00 
 3.13680000e-08  0.00000000e+00  0.00000000e+00 
 3.19680000e-08  0.00000000e+00  0.00000000e+00 
 3.25680000e-08  0.00000000e+00  0.00000000e+00 
